日付,時,分,インプレッション,エンゲージメント,エンゲージメント率,リポスト,返信,いいね,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,固定リンクのクリック数,アプリ表示,アプリインストール,フォローしている,ポストをメール送信,ダイアル式電話,メディアの再生数,メディアのエンゲージメント数
2021/01/25,21,0,2,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/26,18,58,13,3,0.230769231,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/27,19,39,77,1,0.012987013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/27,20,48,30,19,0.633333333,2,0,13,0,4,0,0,0,0,0,0,0,0,0,0
2021/01/27,21,18,18,5,0.277777778,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2021/01/28,21,18,33,3,0.090909091,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/30,16,8,15,10,0.666666667,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/30,17,15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/01,17,46,13,3,0.230769231,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/04,22,51,26,15,0.576923077,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0
2021/02/05,17,42,17,2,0.117647059,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
2021/02/07,18,45,16,23,1.4375,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/08,18,1,15,1,0.066666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/10,19,32,17,13,0.764705882,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/12,19,44,16,27,1.6875,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/13,20,54,80,20,0.25,0,0,15,0,0,0,0,0,0,0,0,0,0,32,5
2021/02/17,20,34,176,16,0.090909091,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0
2021/02/17,20,44,87,14,0.16091954,4,0,10,0,0,0,0,0,0,0,0,0,0,16,0
2021/02/19,18,44,65,14,0.215384615,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0
2021/02/21,20,52,16,4,0.25,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/22,20,21,157,16,0.101910828,0,0,5,4,0,0,0,0,0,0,0,0,0,67,7
2021/02/23,18,52,15,8,0.533333333,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/24,18,31,28,12,0.428571429,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021/02/25,17,27,84,13,0.154761905,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2021/03/03,17,8,404,88,0.217821782,15,0,43,23,4,0,3,0,0,0,0,0,0,0,0
2021/03/03,22,50,18,7,0.388888889,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/03,22,57,7,2,0.285714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/04,20,33,24,22,0.916666667,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/06,19,21,99,27,0.272727273,7,0,19,0,1,0,0,0,0,0,0,0,0,0,0
2021/03/10,17,26,384,76,0.197916667,16,1,28,20,0,0,11,0,0,0,0,0,0,0,0
2021/03/10,17,27,27,11,0.407407407,1,1,6,0,3,0,0,0,0,0,0,0,0,0,0
2021/03/10,17,28,28,10,0.357142857,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0
2021/03/13,14,30,11,6,0.545454545,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/17,18,1,21,14,0.666666667,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/17,19,8,15,1,0.066666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/21,17,8,33,14,0.424242424,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/25,17,7,20,17,0.85,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/28,18,23,14,13,0.928571429,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2021/03/30,16,59,30,36,1.2,3,0,31,0,0,0,2,0,0,0,0,0,0,0,0
2021/04/04,18,40,37,20,0.540540541,1,0,17,0,0,0,2,0,0,0,0,0,0,0,0
2021/04/06,17,6,19,10,0.526315789,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0
2021/04/09,17,3,31,22,0.709677419,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2021/04/12,22,19,39,29,0.743589744,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2021/04/13,18,0,14,3,0.214285714,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021/04/13,20,58,41,14,0.341463415,1,0,13,0,0,0,0,0,0,0,0,0,0,1,0
2021/04/15,21,34,55,13,0.236363636,0,0,10,0,0,0,1,0,0,0,0,0,0,2,2
2021/04/16,18,38,27,21,0.777777778,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0
2021/04/20,22,6,23,5,0.217391304,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021/04/23,21,58,96,24,0.25,1,0,22,1,0,0,0,0,0,0,0,0,0,0,0
2021/04/28,19,40,32,24,0.75,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2021/04/29,18,7,42,28,0.666666667,5,1,21,0,0,0,1,0,0,0,0,0,0,0,0
